Customer_Number,Customer_Name,Terms_of_Payment,Discount_Percentage,Highest_Dunning_Level,Number_of_Open_Invoices,Period
1001,Rajesh Kumar Enterprises,30,5.5,2,3,12
1002,Priya Textiles Private Limited,20,8.1,5,1,24
1003,Anil Singh Trading Company,15,2.5,4,7,6
1004,Sunita Devi Handicrafts,60,12.0,1,0,36
1005,Manoj Gupta Industries,20,4.75,8,4,18
1006,Kavita Sharma Exports,90,15.0,1,2,48
1007,Rohit Agarwal Distributors,20,3.0,5,9,8
1008,Deepika Patel Manufacturing,20,8.1,5,1,42
1009,Vikram Joshi Suppliers,30,4.5,3,5,15
1010,Meera Bansal Traders,20,6.96,7,2,30
1011,Amit Verma Wholesalers,15,1.5,6,12,4
1012,Pooja Rani Enterprises,60,9.0,1,0,36
1013,Suresh Yadav Industries,20,2.56,9,6,12
1014,Ritu Singh Exporters,90,14.0,1,1,60
1015,Karan Malhotra Trading,20,2.0,5,8,9
1016,Neha Kapoor Distributors,45,6.0,3,3,21
1017,Ramesh Kumar Suppliers,75,11.0,2,2,45
1018,Anjali Gupta Traders,30,4.0,3,4,18
1019,Sanjay Sharma Industries,60,8.5,1,1,39
1020,Priti Agarwal Enterprises,15,1.8,7,15,3
1021,Rajiv Patel Manufacturing,90,13.5,1,0,54
1022,Nisha Joshi Exporters,30,5.5,2,5,16
1023,Mahesh Bansal Trading,45,7.0,2,3,27
1024,Divya Verma Distributors,75,10.0,2,1,36
1025,Ashok Yadav Suppliers,14,1.0,6,10,7
1026,Komal Singh Traders,60,9.5,1,2,42
1027,Vikas Malhotra Industries,30,4.5,4,7,14
1028,Seema Kapoor Enterprises,90,12.5,1,1,48
1029,Arjun Kumar Wholesalers,15,2.2,5,11,5
1030,Rina Gupta Exporters,45,6.5,3,4,24
1031,Harsh Sharma Manufacturing,75,9.5,2,2,33
1032,Sonal Agarwal Trading,30,5.0,3,6,19
1033,Mukesh Patel Distributors,60,8.0,1,3,30
1034,Geeta Joshi Suppliers,20,3.5,4,8,11
1035,Ravi Bansal Traders,90,14.5,1,0,66
1036,Preeti Verma Industries,30,4.8,2,4,17
1037,Nitin Yadav Enterprises,45,7.2,2,2,26
1038,Shweta Singh Exporters,75,11.5,1,1,39
1039,Arun Malhotra Wholesalers,15,1.2,8,18,2
1040,Rekha Kapoor Trading,60,10.0,1,2,45
1041,Sunil Kumar Manufacturing,30,6.0,3,5,20
1042,Mamta Gupta Distributors,90,13.0,1,1,51
1043,Rahul Sharma Suppliers,20,2.8,5,9,10
1044,Nidhi Agarwal Traders,45,8.5,2,3,28
1045,Pankaj Patel Industries,75,12.0,1,0,42
1046,Sushma Joshi Enterprises,30,5.5,4,6,15
1047,Manish Bansal Exporters,60,9.0,2,4,33
1048,Renu Verma Wholesalers,15,3.0,6,13,6
1049,Yogesh Yadav Trading,90,15.5,1,1,57
1050,Kavita Singh Manufacturing,30,4.2,3,7,16
1051,Sudhir Malhotra Distributors,45,6.8,2,2,25
1052,Anita Kapoor Suppliers,75,10.5,1,3,36
1053,Dev Kumar Traders,20,2.2,7,14,4
1054,Sarita Gupta Industries,60,11.0,1,1,48
1055,Ajay Sharma Enterprises,20,3.16,9,5,18
1056,Usha Agarwal Exporters,90,12.8,1,0,63
1057,Prakash Patel Wholesalers,15,1.5,6,16,3
1058,Rashmi Joshi Trading,45,7.5,2,4,29
1059,Vinod Bansal Manufacturing,75,9.8,2,2,38
1060,Sunita Verma Distributors,30,4.5,4,8,12
1061,Naresh Yadav Suppliers,60,8.2,1,2,35
1062,Meena Singh Traders,20,3.2,5,10,8
1063,Bharat Malhotra Industries,90,14.2,1,1,54
1064,Lata Kapoor Enterprises,30,6.2,2,6,21
1065,Jitendra Kumar Exporters,45,9.2,1,3,32
1066,Vandana Gupta Wholesalers,75,11.8,1,0,45
1067,Sachin Sharma Trading,15,2.5,7,12,5
1068,Kiran Agarwal Manufacturing,60,10.5,1,4,39
1069,Mohan Patel Distributors,30,5.2,3,5,19
1070,Shanti Joshi Suppliers,90,13.5,1,1,48
1071,Ramesh Bansal Traders,20,1.8,8,15,7
1072,Poonam Verma Industries,45,7.8,2,2,27
1073,Girish Yadav Enterprises,75,12.5,1,3,42
1074,Sunita Singh Exporters,30,4.8,4,7,14
1075,Manoj Malhotra Wholesalers,60,9.5,2,1,36
1076,Reena Kapoor Trading,15,2.8,6,11,6
1077,Satish Kumar Manufacturing,90,15.2,1,0,60
1078,Neelam Gupta Distributors,30,6.5,3,4,22
1079,Rajesh Sharma Suppliers,45,8.8,1,2,31
1080,Kusum Agarwal Traders,75,10.2,2,3,37
1081,Dinesh Patel Industries,20,3.5,5,9,9
1082,Shila Joshi Enterprises,60,11.5,1,1,44
1083,Vipul Bansal Exporters,30,5.5,2,6,17
1084,Madhuri Verma Wholesalers,90,14.8,1,2,66
1085,Anil Yadav Trading,15,1.2,9,20,1
1086,Suman Singh Manufacturing,45,7.2,3,3,26
1087,Hemant Malhotra Distributors,75,9.2,2,4,34
1088,Bharti Kapoor Suppliers,30,4.2,4,8,13
1089,Lalit Kumar Traders,60,8.8,1,3,41
1090,Seema Gupta Industries,20,2.5,6,12,8
1091,Rohit Sharma Enterprises,90,13.8,1,1,57
1092,Nisha Agarwal Exporters,30,6.8,2,5,20
1093,Mukul Patel Wholesalers,45,9.8,1,2,35
1094,Ruchi Joshi Trading,75,11.2,1,0,46
1095,Ashish Bansal Manufacturing,15,3.2,7,14,4
1096,Chhaya Verma Distributors,60,10.8,1,4,43
1097,Manish Yadav Suppliers,30,5.8,3,6,18
1098,Asha Singh Traders,90,12.2,1,3,51
1099,Raman Malhotra Industries,20,1.5,8,17,2
1100,Savita Kapoor Enterprises,45,8.2,2,1,29
1101,Deepak Kumar Exporters,75,13.5,1,2,48
1102,Pinki Gupta Wholesalers,30,4.5,4,7,15
