Material Number,Material Name,Base Unit of Measure,stock,Net Weight,Gross Weight,tax,Standard Price,Plant,Storage Location,MRP
MAT-001001,Steel Rod 12mm,PC,249,2.5,2.8,18,125.5,P001,SL-A101,147.9
MAT-001002,Aluminum Sheet 2mm,SQM,180,5.4,6.1,18,89.75,P001,SL-A102,105.91
MAT-001003,Copper Wire 2.5mm,MTR,0,0.2,0.25,18,12.3,P002,SL-B201,14.51
MAT-001004,Plastic Pipe PVC 4in,MTR,75,1.8,2.1,18,45.6,P001,SL-A103,53.81
MAT-001005,Carbon Steel Plate,KG,1200,1.0,1.0,18,78.9,P003,SL-C301,93.1
MAT-001006,Stainless Steel Bolt M8,PC,800,0.05,0.06,18,8.75,P002,SL-B202,10.33
MAT-001007,Rubber Gasket 50mm,PC,147,0.15,0.18,18,15.25,P001,SL-A104,18.0
MAT-001008,Brass Fitting 1/2in,PC,150,0.8,0.9,18,32.4,P002,SL-B203,38.23
MAT-001009,Glass Fiber Mat,SQM,95,0.6,0.75,18,67.8,P003,SL-C302,80.0
MAT-001010,Epoxy Resin,LTR,7,1.1,1.3,18,145.9,P001,SL-A105,172.16
MAT-001011,Titanium Rod 6mm,PC,24,0.9,1.0,18,890.5,P003,SL-C303,1050.79
MAT-001012,Nylon Cable Tie,PC,1910,0.01,0.012,12,2.15,P002,SL-B204,2.41
MAT-001013,Ceramic Insulator,PC,120,0.3,0.35,18,28.75,P001,SL-A106,33.93
MAT-001014,Silicone Sealant,TUB,84,0.4,0.48,18,78.6,P002,SL-B205,92.75
MAT-001015,Lead Sheet 3mm,KG,300,1.0,1.0,18,156.8,P003,SL-C304,185.03
MAT-001016,PVC Conduit 20mm,MTR,450,0.25,0.3,18,18.9,P001,SL-A107,22.3
MAT-001017,Zinc Coating Spray,CAN,60,0.5,0.55,18,89.4,P002,SL-B206,105.49
MAT-001018,Fiberglass Tape,ROL,200,0.8,0.9,18,34.7,P001,SL-A108,40.95
MAT-001019,Magnesium Alloy Bar,KG,180,1.0,1.0,18,234.6,P003,SL-C305,276.83
MAT-001020,Polyurethane Foam,CAN,95,0.6,0.7,18,67.3,P002,SL-B207,79.41
MAT-001021,Steel Angle 40x40mm,MTR,120,3.2,3.5,18,78.9,P001,SL-A109,93.1
MAT-001022,Aluminum Angle 25x25mm,MTR,200,0.8,0.9,18,45.6,P002,SL-B208,53.81
MAT-001023,Copper Tube 15mm,MTR,150,0.6,0.7,18,89.4,P003,SL-C306,105.49
MAT-001024,Plastic Sheet HDPE,SQM,80,2.1,2.4,18,123.5,P001,SL-A110,145.73
MAT-001025,Stainless Steel Wire,KG,245,1.0,1.0,18,167.8,P002,SL-B209,198.0
MAT-001026,Rubber Hose 12mm,MTR,100,0.4,0.45,18,23.8,P001,SL-A111,28.08
MAT-001027,Brass Valve 3/4in,PC,45,1.2,1.4,18,156.9,P003,SL-C307,185.14
MAT-001028,Glass Wool Insulation,BAG,30,2.5,3.0,18,234.7,P002,SL-B210,276.95
MAT-001029,Epoxy Adhesive,TUB,75,0.5,0.6,18,89.6,P001,SL-A112,105.73
MAT-001030,Titanium Sheet 1mm,SQM,15,3.8,4.2,18,1245.8,P003,SL-C308,1470.04
MAT-001031,Electric Motor 1HP,PC,25,15.2,18.5,18,2340.5,P001,SL-A113,2761.79
MAT-001032,Bearing 6203,PC,400,0.12,0.15,18,34.8,P002,SL-B211,41.06
MAT-001033,Hydraulic Pump,PC,7,45.6,52.3,18,12450.0,P003,SL-C309,14691.0
MAT-001034,Pneumatic Cylinder,PC,20,8.9,10.2,18,1890.7,P001,SL-A114,2231.03
MAT-001035,Control Valve,PC,35,3.4,4.1,18,567.8,P002,SL-B212,670.0
MAT-001036,Pressure Gauge,PC,60,0.8,1.0,18,234.6,P003,SL-C310,276.83
MAT-001037,Temperature Sensor,PC,100,0.15,0.18,18,123.45,P001,SL-A115,145.67
MAT-001038,Flow Meter,PC,15,2.3,2.8,18,1789.6,P002,SL-B213,2111.73
MAT-001039,Proximity Switch,PC,80,0.25,0.3,18,189.5,P003,SL-C311,223.61
MAT-001040,LED Indicator Light,PC,200,0.08,0.1,18,45.7,P001,SL-A116,53.93
MAT-001041,Junction Box,PC,120,1.2,1.5,18,89.4,P002,SL-B214,105.49
MAT-001042,Cable Gland M20,PC,300,0.15,0.18,18,23.8,P001,SL-A117,28.08
MAT-001043,Terminal Block,PC,250,0.05,0.06,18,12.3,P003,SL-C312,14.51
MAT-001044,Relay 24VDC,PC,150,0.08,0.1,18,67.8,P002,SL-B215,80.0
MAT-001045,Contactor 3-pole,PC,50,0.6,0.75,18,234.5,P001,SL-A118,276.71
MAT-001046,Circuit Breaker 16A,PC,80,0.4,0.5,18,189.7,P003,SL-C313,223.85
MAT-001047,Fuse 10A,PC,500,0.02,0.025,12,8.9,P002,SL-B216,9.97
MAT-001048,Power Supply 24V,PC,40,2.1,2.6,18,567.9,P001,SL-A119,670.12
MAT-001049,Transformer 1KVA,PC,12,25.8,31.2,18,3450.8,P003,SL-C314,4071.94
MAT-001050,Conduit Fitting,PC,400,0.12,0.15,18,15.6,P002,SL-B217,18.41
MAT-002001,Welding Rod 3.2mm,KG,180,1.0,1.0,18,189.5,P001,SL-A201,223.61
MAT-002002,Grinding Wheel 125mm,PC,90,0.4,0.5,18,45.8,P002,SL-B301,54.04
MAT-002003,Cutting Disc 115mm,PC,150,0.2,0.25,18,23.7,P003,SL-C401,27.97
MAT-002004,Drill Bit HSS 10mm,PC,200,0.15,0.18,18,34.9,P001,SL-A202,41.18
MAT-002005,End Mill 8mm,PC,80,0.12,0.15,18,123.6,P002,SL-B302,145.85
MAT-002006,Lathe Tool Insert,PC,120,0.05,0.06,18,78.9,P003,SL-C402,93.1
MAT-002007,Milling Cutter 20mm,PC,40,0.8,0.95,18,345.7,P001,SL-A203,407.93
MAT-002008,Tap M10x1.5,PC,60,0.2,0.25,18,67.4,P002,SL-B303,79.53
MAT-002009,Die M8x1.25,PC,70,0.3,0.35,18,89.6,P003,SL-C403,105.73
MAT-002010,Reamer 12mm,PC,30,0.4,0.5,18,156.8,P001,SL-A204,185.03
MAT-002011,Hacksaw Blade,PC,300,0.08,0.1,12,12.5,P002,SL-B304,14.0
MAT-002012,File Flat 200mm,PC,100,0.3,0.35,18,23.9,P003,SL-C404,28.2
MAT-002013,Hammer 500g,PC,50,0.5,0.6,18,123.8,P001,SL-A205,146.08
MAT-002014,Screwdriver Set,SET,25,1.2,1.5,18,234.9,P002,SL-B305,277.18
MAT-002015,Wrench Adjustable 10in,PC,40,0.8,0.95,18,189.4,P003,SL-C405,223.49
MAT-002016,Pliers Combination 8in,PC,60,0.4,0.5,18,89.7,P001,SL-A206,105.85
MAT-002017,Wire Strippers,PC,35,0.25,0.3,18,67.6,P002,SL-B306,79.77
MAT-002018,Multimeter Digital,PC,20,0.6,0.8,18,567.8,P003,SL-C406,670.0
MAT-002019,Oscilloscope Probe,PC,15,0.15,0.2,18,1234.5,P001,SL-A207,1456.71
MAT-002020,Soldering Iron 40W,PC,30,0.3,0.4,18,234.6,P002,SL-B307,276.83
MAT-002021,Solder Wire 1mm,KG,50,1.0,1.0,18,345.8,P003,SL-C407,408.04
MAT-002022,Flux Paste,TUB,80,0.2,0.25,18,45.9,P001,SL-A208,54.16
MAT-002023,Desoldering Braid,ROL,100,0.05,0.06,18,23.4,P002,SL-B308,27.61
MAT-002024,Heat Shrink Tube,MTR,200,0.01,0.012,12,4.5,P003,SL-C408,5.04
MAT-002025,Insulation Tape,ROL,300,0.15,0.18,18,12.8,P001,SL-A209,15.1
MAT-002026,Cable Marker,PC,500,0.005,0.006,12,2.3,P002,SL-B309,2.58
MAT-002027,Wire Nut Connector,PC,800,0.01,0.012,12,3.4,P003,SL-C409,3.81
MAT-002028,Electrical Box 4x4,PC,120,0.8,1.0,18,34.7,P001,SL-A210,40.95
MAT-002029,Outlet GFCI 15A,PC,60,0.4,0.5,18,89.5,P002,SL-B310,105.61
MAT-002030,Switch Single Pole,PC,100,0.2,0.25,18,23.6,P003,SL-C410,27.85
MAT-003001,Hydraulic Oil ISO 46,LTR,500,0.9,1.0,18,67.8,P001,SL-A301,80.0
MAT-003002,Gear Oil SAE 90,LTR,300,0.92,1.02,18,78.9,P002,SL-B401,93.1
MAT-003003,Engine Oil 10W-30,LTR,400,0.88,0.98,18,123.5,P003,SL-C501,145.73
MAT-003004,Cutting Fluid,LTR,200,1.05,1.15,18,89.4,P001,SL-A302,105.49
MAT-003005,Coolant Concentrate,LTR,150,1.1,1.2,18,156.7,P002,SL-B402,184.91
MAT-003006,Brake Fluid DOT 4,LTR,80,1.0,1.1,18,234.8,P003,SL-C502,277.06
MAT-003007,Transmission Fluid,LTR,120,0.95,1.05,18,189.6,P001,SL-A303,223.73
MAT-003008,Grease Lithium EP2,KG,180,0.9,1.0,18,45.9,P002,SL-B403,54.16
MAT-003009,Penetrating Oil,CAN,200,0.8,0.9,18,34.8,P003,SL-C503,41.06
MAT-003010,Chain Lubricant,CAN,150,0.75,0.85,18,67.5,P001,SL-A304,79.65
MAT-003011,Rust Preventive,CAN,100,0.82,0.92,18,89.7,P002,SL-B404,105.85
MAT-003012,Cleaner Degreaser,LTR,250,0.95,1.05,18,56.8,P003,SL-C504,67.02
MAT-003013,Thread Locker Blue,TUB,60,0.05,0.06,18,78.9,P001,SL-A305,93.1
MAT-003014,Gasket Maker RTV,TUB,80,0.08,0.1,18,45.6,P002,SL-B405,53.81
MAT-003015,Bearing Grease,TUB,120,0.1,0.12,18,123.4,P003,SL-C505,145.61
MAT-003016,White Lithium Grease,TUB,150,0.09,0.11,18,34.9,P001,SL-A306,41.18
MAT-003017,Silicone Spray,CAN,200,0.6,0.7,18,23.8,P002,SL-B406,28.08
MAT-003018,Contact Cleaner,CAN,180,0.65,0.75,18,67.3,P003,SL-C506,79.41
MAT-003019,Belt Dressing,CAN,100,0.7,0.8,18,45.7,P001,SL-A307,53.93
MAT-003020,Compressor Oil,LTR,80,0.9,1.0,18,189.5,P002,SL-B407,223.61
MAT-004001,Safety Helmet White,PC,50,0.4,0.5,12,123.5,P001,SL-A401,138.32
MAT-004002,Safety Goggles Clear,PC,100,0.15,0.18,12,45.8,P002,SL-B501,51.3
MAT-004003,Ear Plugs Foam,PAIR,500,0.005,0.006,12,3.4,P003,SL-C601,3.81
MAT-004004,Work Gloves Leather,PAIR,200,0.2,0.25,12,67.8,P001,SL-A402,75.94
MAT-004005,Safety Vest Hi-Vis,PC,80,0.3,0.35,12,89.5,P002,SL-B502,100.24
MAT-004006,Steel Toe Boots,PAIR,30,2.5,3.0,12,1234.6,P003,SL-C602,1382.75
MAT-004007,Hard Hat Liner,PC,60,0.08,0.1,12,23.7,P001,SL-A403,26.54
MAT-004008,Face Shield,PC,40,0.25,0.3,12,156.8,P002,SL-B503,175.62
MAT-004009,Respirator Half Face,PC,25,0.4,0.5,12,345.9,P003,SL-C603,387.41
MAT-004010,Filter Cartridge P100,PC,100,0.12,0.15,12,78.9,P001,SL-A404,88.37
MAT-004011,Safety Harness,PC,20,1.8,2.2,12,567.8,P002,SL-B504,635.94
MAT-004012,Lanyard 6ft,PC,35,0.8,0.95,12,189.4,P003,SL-C604,212.13
MAT-004013,Carabiner Steel,PC,80,0.3,0.35,12,45.9,P001,SL-A405,51.41
MAT-004014,First Aid Kit,KIT,15,2.1,2.5,12,234.7,P002,SL-B505,262.86
MAT-004015,Emergency Eyewash,PC,8,15.6,18.2,12,1890.5,P003,SL-C605,2117.36
MAT-004016,Fire Extinguisher 5lb,PC,25,5.8,6.5,12,345.6,P001,SL-A406,387.07
MAT-004017,Smoke Detector,PC,40,0.3,0.4,12,123.8,P002,SL-B506,138.66
MAT-004018,Emergency Light,PC,20,2.2,2.8,12,456.9,P003,SL-C606,511.73
MAT-004019,Warning Tape,ROL,100,0.5,0.6,12,23.4,P001,SL-A407,26.21
