order_id,customer_number,material_number,quantity,term_of_payment,discount,dunning_level,date,amount,customer_name,material_name,base_unit,net_weight,gross_weight,tax_percentage,standard_price,mrp,total_price,currency,plant,storage_location,tax_amount
SO0001,1001,MAT-001005,5,15.0,4..5,5,22-06-2025,134.0,,,,,,,,,,,,,
SO0002,1001,MAT-001005,4,14.0,5.5,6,22-06-2025,543.0,,,,,,,,,,,,,
SO0003,10021,MAT-001004,6,21.0,5.6,5,22-06-2025,423.0,,,,,,,,,,,,,
SO0004,1002,MAT-001007,10,20.0,8.1,5,22-06-2025,180.0,,,,,,,,,,,,,
SO0005,1003,MAT-001003,12,16.0,0.05,9,22-06-2025,174.12,,,,,,,,,,,,,
SO0006,1005,MAT-001007,10,20.0,4.75,8,22-06-2025,180.0,,,,,,,,,,,,,
SO0007,1002,MAT-001003,15,20.0,8.1,5,22-06-2025,217.65,,,,,,,,,,,,,
SO0008,1002,MAT-001007,20,20.0,8.1,5,22-06-2025,360.0,,,,,,,,,,,,,
SO0009,1008,MAT-001007,10,20.0,8.1,5,22-06-2025,180.0,,,,,,,,,,,,,
SO0010,1005,MAT-001007,15,20.0,4.75,8,22-06-2025,270.0,,,,,,,,,,,,,
SO0011,1005,MAT-001007,15,20.0,4.75,8,22-06-2025,270.0,,,,,,,,,,,,,
SO0012,1005,MAT-001007,15,20.0,4.75,9,22-06-2025,270.0,,,,,,,,,,,,,
SO0013,1005,MAT-001003,16,20.0,4.75,7,22-06-2025,232.16,,,,,,,,,,,,,
SO0014,1005,MAT-001003,16,20.0,4.75,7,22-06-2025,232.16,,,,,,,,,,,,,
SO0015,1005,MAT-001003,12,20.0,4.75,8,22-06-2025,174.12,,,,,,,,,,,,,
SO0016,1005,MAT-001003,12,20.0,4.75,8,22-06-2025,174.12,,,,,,,,,,,,,
SO0017,1005,MAT-001003,15,20.0,4.75,8,22-06-2025,217.65,,,,,,,,,,,,,
SO0018,1005,MAT-001003,15,20.0,4.75,8,22-06-2025,217.65,,,,,,,,,,,,,
SO0019,1005,MAT-001003,12,20.0,4.75,8,22-06-2025,174.12,,,,,,,,,,,,,
SO0020,1005,MAT-001003,15,20.0,4.75,8,22-06-2025,217.65,,,,,,,,,,,,,
SO0021,1005,MAT-001003,30,20.0,4.75,8,22-06-2025,435.3,,,,,,,,,,,,,
SO0022,1005,MAT-001003,30,20.0,4.75,8,22-06-2025,435.3,,,,,,,,,,,,,
